27.76908;10.10878;-2.91055;-0.31794;-0.31198;-0.14101;-0.14714;
27.77692;10.18243;-2.93270;-0.19040;-0.31464;-0.11371;-0.14687;
27.78476;10.18901;-2.92252;-0.22573;-0.31731;-0.08455;-0.14580;
27.79259;10.15249;-2.89618;-0.14669;-0.31837;-0.09521;-0.14594;
27.80043;10.09800;-2.91594;-0.21495;-0.31358;-0.10626;-0.14101;
27.80825;10.12315;-2.91953;-0.23471;-0.31451;-0.11185;-0.13981;
27.81610;10.13692;-2.90516;-0.22573;-0.31957;-0.11105;-0.13715;
27.82394;10.10459;-2.90216;-0.24908;-0.32103;-0.11917;-0.13342;
27.83177;10.05788;-2.90396;-0.32932;-0.31890;-0.16498;-0.13169;
27.83960;10.11536;-2.91833;-0.19699;-0.32117;-0.18682;-0.13236;
27.84745;10.10099;-2.91175;-0.28561;-0.31930;-0.23555;-0.13369;
27.85529;10.06148;-2.90216;-0.18561;-0.31491;-0.29600;-0.13369;
27.86313;10.08842;-2.95186;-0.28441;-0.31544;-0.31145;-0.13462;
27.87098;10.15668;-2.99677;-0.23052;-0.30532;-0.33595;-0.13742;
27.87882;10.16806;-2.92192;-0.19160;-0.30452;-0.35898;-0.13355;
27.88666;10.11297;-2.86983;-0.34668;-0.30412;-0.36324;-0.13502;
27.89448;10.09621;-2.88420;-0.35626;-0.30426;-0.34194;-0.13915;
27.90231;10.13692;-2.92192;-0.26405;-0.30106;-0.28788;-0.14381;
27.91013;10.17823;-2.90815;-0.26824;-0.30692;-0.26032;-0.14274;
27.91796;10.15548;-2.90276;-0.31435;-0.31238;-0.21531;-0.13781;
27.92581;10.12255;-2.89378;-0.36883;-0.31797;-0.17590;-0.13821;
27.93366;10.12734;-2.92073;-0.28800;-0.32197;-0.15339;-0.14008;
27.94149;10.13572;-2.91953;-0.31195;-0.32436;-0.12676;-0.14061;
27.94935;10.10399;-2.92013;-0.33411;-0.32396;-0.12397;-0.13968;
27.95718;10.12255;-2.92372;-0.42033;-0.31970;-0.12130;-0.14434;
27.96501;10.11357;-2.89977;-0.39578;-0.31731;-0.11558;-0.14780;
27.97284;10.13632;-2.90336;-0.40835;-0.31358;-0.09334;-0.15379;
27.98067;10.12914;-2.88420;-0.36883;-0.31464;-0.08402;-0.15379;
27.98851;10.12554;-2.90097;-0.31135;-0.31571;-0.08628;-0.15393;
27.99635;10.09441;-2.90935;-0.37841;-0.31358;-0.08535;-0.14860;
28.00417;10.11477;-2.90875;-0.34009;-0.31145;-0.08109;-0.15100;
28.01199;10.12135;-2.90875;-0.31075;-0.30865;-0.06338;-0.15193;
28.01981;10.11177;-2.87043;-0.34668;-0.30612;-0.06232;-0.15259;
28.02764;10.13512;-2.92312;-0.28980;-0.30599;-0.06897;-0.15100;
28.03546;10.13033;-2.92073;-0.27842;-0.30239;-0.06871;-0.14873;
28.04328;10.11656;-2.93210;-0.37063;-0.30040;-0.06085;-0.14753;
28.05109;10.07764;-2.91893;-0.40176;-0.29294;-0.05872;-0.15379;
28.05891;10.06208;-2.92192;-0.35566;-0.28988;-0.06831;-0.15646;
28.06673;10.08603;-2.90336;-0.31495;-0.28668;-0.08788;-0.16045;
28.07454;10.07525;-2.89618;-0.35566;-0.28628;-0.09813;-0.16391;
28.08236;10.07465;-2.92192;-0.39638;-0.28202;-0.11345;-0.16897;
28.09019;10.08782;-2.88600;-0.32273;-0.27976;-0.11438;-0.17243;
28.09801;10.16865;-2.89678;-0.25746;-0.28082;-0.11052;-0.17270;
28.10583;10.17285;-2.90396;-0.24968;-0.28149;-0.10080;-0.16484;
